,Text
770,"The woman had a part-time job as a manager for the Rock Star Lanes, but was never paid, and had to rely on his family for food and shelter."
771,"The woman had a part-time job as a security guard, but because of his family's financial troubles he couldn't afford to pay his bills."
772,The woman had a part-time job as a nanny and a part-time job as a nanny.
773,"The woman had a part-time job as a waitress, and he loved it."
774,The woman had a part-time job as a bartender.
775,The woman had a part-time job as a server at a local bar.
776,"The woman had a part-time job as a waitress and a housekeeper in the late 1970s, and he was studying to be a nurse, according to his obituary."
777,The woman had a part-time job as a deliveryman in Chicago.
778,"The woman had a part-time job as a rock n' roll DJ in the early '80s, but he quickly found himself in the middle of the most turbulent period of his life."
779,"The woman had a part-time job as a librarian and was a regular at a local bookstore, where he had an interest in literature and art."
780,The woman had a part-time job as a mailman and a part-time job as a pizza delivery driver.
781,The woman had a part-time job as a waiter in a restaurant.
782,The woman had a part-time job as a substitute teacher at a local school.
783,"The woman had a part-time job as a delivery boy, and was eventually fired for not doing enough."
784,"The woman had a part-time job as a barista, and he was taking classes to be a lawyer."
785,The woman had a part-time job as a paralegal in a downtown Toronto law firm.
786,"The woman had a part-time job as a waitress at the Hooters restaurant in Albuquerque, New Mexico."
787,The woman had a part-time job as a substitute teacher for a couple of years.
788,The woman had a part-time job as a field agent for a military contractor.
789,"The woman had a part-time job as a bodyguard, but when he saw that a man in the area had the same job as him, he decided to take action and robbed him of his"
790,"The woman had a part-time job as a garbage collector, which he says was a great way to pay the bills."
791,"The woman had a part-time job as a server at a restaurant, and he was going to quit that job when he had to stay at home with his mother."
792,The woman had a part-time job as a bartender at the club.
793,"The woman had a part-time job as a waitress in a fast food restaurant, and he was the daughter of a single mother."
794,The woman had a part-time job as a lawyer and he had a wife and three kids.
795,The woman had a part-time job as a cook and was making the transition from the human to the vegetable world.
796,The woman had a part-time job as a lifeguard.
797,"The woman had a part-time job as a graphic designer and he went to college, but he decided to pursue his dream of becoming a writer."
798,"The woman had a part-time job as a waitress, and he was doing the best he could."
799,"The woman had a part-time job as a reporter for the San Diego Union-Tribune in the early 1990s, but his work was mostly non-journalistic."
800,The woman had a part-time job as a food service manager for a local pizzeria.
801,The woman had a part-time job as a teacher's aide in a charter school.
802,"The woman earned money by using the moolah of the ""American"" people to buy a small piece of the American Dream."
803,"The woman earned money by impersonating an old lady to get into his home and sexually assault her, according to court records."
804,"The woman earned money by doing things such as riding a bike, attending meetings and paying bills."
805,"The woman earned money by selling ""anti-Trump"" merchandise."
806,The woman earned money by producing a movie that was perceived as a political statement.
807,The woman earned money by selling products on eBay.
808,The woman earned money by making a living off of the show.
809,"The woman earned money by using the word ""gay"" in a video that included a video of a woman in a thong."
810,The woman earned money by writing on websites.
811,The woman earned money by running a web site that linked to a video of a woman being raped and was convicted in the US.
812,The woman earned money by selling them.
813,"The woman earned money by saying things like, ""I'm going to kill everyone who doesn't vote for me"" and ""I'm going to get my money's worth.""  ""I was"
814,The woman earned money by being a good citizen and helping out a local community.
815,"The woman earned money by posing for photographs in public places, such as bathrooms, at the beach and in restaurants, and then selling those photographs on eBay."
816,The woman earned money by selling the comics.
817,The woman earned money by selling pieces of paper.
818,"The woman earned money by selling all the food and drinks in a restaurant, and the guy who owned the restaurant was outraged."
819,The woman earned money by selling the physical games.
820,"The woman earned money by sending ""likes"" to the Digg posts, then ""liking"" the Digg posts themselves."
821,"The woman earned money by selling ads, not by selling his time."
822,The woman earned money by making his own food.
823,"The woman earned money by offering clients a ""fancy"" package that included ""a $1,500 personalized thank you card,"" ""a $1,000 gift certificate to an upscale restaurant,"" and"
824,The woman earned money by selling books to the public.
825,"The woman earned money by using a program called NewTek, which is a free Android app that lets people make money by using a mobile phone's Wi-Fi connection to charge a device."
826,"The woman earned money by raising funds for people with disabilities, including his own."
827,The woman earned money by selling goods to the public.
828,The woman earned money by selling sex.
829,The woman earned money by playing the game.
830,"The woman earned money by taking part in the ""The Walking Dead"" television series."
831,The woman earned money by sending people to the hospital with a bogus diagnosis of heart disease and then charging them a fee for their care.
832,"The woman earned money by being a ""trickster"" or ""cheater"" in the field of business."
833,"The woman earned money by creating false accounts on Facebook, Instagram, LinkedIn, and Twitter to promote his book, and now he's gone after the media."
834,"The woman earned money by using his or his connections to get on top of other people's ""who's who"" lists."
835,"The woman earned money by selling books and DVDs that were advertised as educational, but were actually sold for profit."
836,"The woman earned money by posting videos on YouTube that included racist, offensive and hateful content."
837,"The woman earned money by a quick and dirty method called ""shilling""."
838,The woman earned money by collecting and selling records and videos and other media.
839,"The woman earned money by selling a series of ""self-help"" books, and he even had a website."
840,"The woman earned money by:  Paying for the sex, and by  Teaching his the skills necessary to live as a prostitute."
841,"The woman earned money by providing a ""service"" to the company."
842,The woman earned money by making videos on YouTube.
843,The woman earned money by selling a high-end apartment in the US to a Chinese businessman.
844,The woman earned money by creating a show for the internet that was a massive success.
845,The woman earned money by selling tickets.
846,"The woman earned money by producing ads that would be shown to ""Young Adult"" and ""Family"" audiences."
847,"The woman earned money by acting in and writing about their own lives, and their stories can be very compelling."
848,The woman earned money by selling the one-of-a-kind music on a cassette tape.
849,"The woman earned money by posting on social media, either to his personal Facebook page or to a group page for his job."
850,"The woman earned money by promoting a book about a gun-control advocate and a man who went by the name ""The Man with the Gun.""  ""The Man with the Gun"" is a"
851,"The woman earned money by stealing money from the bank, or by stealing from a bank that had already been robbed."
852,"The woman earned money by selling fake tickets for the August 7, 2012, Red Sox-Yankees game."
853,"The woman earned money by creating the ""Innocence of Muslims"" video, which led to protests and the killing of American journalist Steven Sotloff in Libya."
854,The woman earned money by dressing up as a person and posing for photos and videos.
855,"The woman earned money by selling the rights to the film, and he said the deal was worth $1 million."
856,"The woman earned money by selling his work to publishers, and was not able to make ends meet."
857,The woman earned money by being a good neighbor.
858,The woman earned money by working as a carpenter and a driver.
859,"The woman earned money by performing the above, and not by making money."
860,The woman earned money by selling food and other goods.
861,The woman earned money by conducting the online survey on behalf of the ACLU of Washington.
862,The woman earned money by making a video about a woman who got raped.
863,The woman earned money by tricking other people into giving him money.
864,"The woman earned money by going out and making ""crazy"" videos."
865,"The woman earned money by having sex with a corpse, and then sold it."
866,"The woman earned money by selling his wares at regular brick-and-mortar stores, such as Michaels, Macy's, Sears, Kmart, and Sears."
867,"The woman earned money by selling the book and his book became a bestseller, he said."
868,The woman earned money by selling goods and services.
869,"The woman earned money by convincing people to give him money to buy beer, cars, and guns."
870,"The woman earned money by using a video game to make money off of it, and now he's trying to make money off of it."
871,The woman earned money by being a good person.
872,"The woman earned money by playing on the site, which used to be known as ""the most popular forum in the world."" (Source: Washington Post)  As the price of bitcoin climbed above"
873,The woman earned money by being famous.
874,The woman earned money by selling cheap sneakers and T-shirts to kids who wouldn't normally buy them.
875,The woman earned money by selling his soul for the promise of eternal life.
876,The woman earned money by being a white person who had a different identity than the average person.
877,The woman earned money by taking a picture of a woman being raped.
878,The woman earned money by opening a bank account.
879,"The woman earned money by selling a number of its products to distributors, including a variety of tobacco products such as Camel and Snus."
880,The woman earned money by helping people and making sure they didn't get hurt.
881,"The woman earned money by being in the public eye for years, and in doing so, he created a powerful brand and a well-earned reputation as a leading advocate for the rights of people with disabilities"
882,"The woman earned money by selling tickets to a live concert, and he's not alone."
883,The woman earned money by offering to escort women out of the club.
884,The woman earned money by selling the service.
885,"The woman earned money by selling a fake diploma to students in the U.S., including one who was convicted of murdering his wife."
886,The woman earned money by doing it.
887,The woman earned money by selling his own body to the highest bidder.
888,"The woman earned money by teaching children how to make and use medical marijuana, according to court documents."
889,The woman earned money by playing games.
890,"The woman earned money by selling them on Amazon.com for $1,000 to $2,000."
891,The woman earned money by selling the poster of a man he believed was a prostitute.
892,The woman earned money by selling articles on its website.
893,The woman earned money by playing video games.
894,The woman earned money by having sex with people who were willing to pay.
895,"The woman earned money by writing, performing, and directing, but not by making money."
896,"The woman earned money by being a public figure, having a private life, or being a public figure who was not a public figure."
897,The woman earned money by producing films.
898,"The woman earned money by selling a book, The Soul of a Country, and by appearing on the radio shows of the program's hosts."
899,"The woman earned money by producing, directing, and starring in a few films."
900,"The woman earned money by playing ""like a baby"" in the game."
901,"The woman earned money by collecting and selling music and other media, and by creating a persona of himself, which he referred to as ""The Master""."
902,The woman started working as a massage therapist in 1991.
903,"The woman started working as a low-level consultant for the national Democratic party in 2009, when he was elected to the Senate."
904,"The woman started working as a factory manager in France and moved to the United States in 1972, where he worked for several years as a production engineer at a lumber mill."
905,"The woman started working as an actor in 2003, and since then he has appeared in some of the biggest movies in the world, including the Avengers, Iron Man, The Dark Knight, and The Hunger"
906,The woman started working as a freelance writer in 2002.
907,"The woman started working as a volunteer in the community last year, and said he was stunned to find his former co-worker had been a big part of his life for a while."
908,The woman started working as a clown for a local circus in 1966.
909,The woman started working as a D.C.
910,"The woman started working as a janitor at the hospital, when he was finally called in to the main building to clean up the mess."
911,"The woman started working as a young boy with his father in the farmhouse, where he did chores."
912,The woman started working as a mail carrier in the 1980s.
913,"The woman started working as a salesperson for a new company, and his friend was working in a new office."
914,"The woman started working as a freelance writer in the early 2000s, then moved to Germany to live with his wife and daughter."
915,The woman started working as a firefighter in 2009.
916,The woman started working as a consultant for the U.S.
917,The woman started working as a press officer at the U.S.
918,The woman started working as a reporter for the Los Angeles Times in 1983 and became a staff writer in 1989.
919,The woman started working as a reporter for a local news station in Dallas.
920,The woman started working as an assistant at an investment bank in Berlin.
921,"The woman started working as a nanny in the early 1990s and worked his way up to being a full-time nanny, but eventually found herself pregnant and decided to keep the baby."
922,"The woman started working as a security guard in the late '90s, at a local gym."
923,The woman started working as a salesman in the late '60s.
924,"The woman started working as a waitress at the Slover's in Hollywood, California."
925,The woman started working as a freelance writer in the early 1990s.
926,The woman started working as a personal assistant to Donald Trump.
927,The woman started working as a teacher in a school in the early 1980s.
928,"The woman started working as a security guard at a building in East Cleveland, Ohio, and was arrested on Aug."
929,"The woman started working as a journalist in 2010, covering the country's political scene and the economy.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
930,The woman started working as a professional writer in the late 1990s.
931,The woman started working as a music supervisor for a number of independent films and television programs.
932,The woman started working as a teacher at the school in September 2015.
933,"The woman started working as a gardener for a man named Tommie Clemens, a man who had a violent and abusive relationship with his son, who was a troubled youth."
934,The woman started working as a human rights defender in the US in 1993 and was the first American to be sentenced to prison for helping to organize anti-apartheid demonstrations in the 1980s.
935,The woman started working as a copywriter for the band in the early 1990s.
936,The woman started working as a freelance graphic designer in 2011.
937,"The woman started working as a freelancer for a few years, before starting his own graphic novel company, Two-Minute Comics."
938,"The woman started working as a test technician for a company called Avid, which builds software for vehicles."
939,"The woman started working as a freelance journalist in the United States and now writes for various publications including the Associated Press, the New York Times, the Washington Post, the New York Times Magazine and the Associated"
940,"The woman started working as a contractor for the city of New Orleans, where he would be paid to clean the streets."
941,The woman started working as a house painter in the late 1950s and then later as a house painter for the large apartment complex in the center of Los Angeles.
942,"The woman started working as a bouncer at the downtown clubs, and he made more than $10,000 a year."
943,The woman started working as a media consultant for a number of U.S.
944,The woman started working as a waitress at a McDonald's restaurant in the New York City borough of Queens.
945,The woman started working as an intern for the website in July 2015 and was hired by the company in December.
946,The woman started working as a web designer in 2007.
947,"The woman started working as a janitor at the Mona Lisa Hotel in the city of Algiers, Algeria."
948,The woman started working as a mechanic in the 1970s.
949,The woman started working as a home health aide in the spring of 2005.
950,"The woman started working as a security guard in 1994, and has worked as a security guard since then."
951,"The woman started working as a salesman for a restaurant in San Francisco, and he was hired by a manager to help set up a new promotion."
952,"The woman started working as a bartender in New York City in the late 1980s, when he began talking to people who'd been beaten up and robbed by the police."
953,The woman started working as a forensic anthropologist for the department in 1999.
954,"The woman started working as a replacement for the original service, and has since expanded to a full-time job as a K-9 handler."
955,The woman started working as a model for the U.S.
956,The woman started working as a serial killer in 1990.
957,The woman started working as a construction worker.
958,"The woman started working as a jock for a small town football team, and started training in the gym."
959,"The woman started working as an assistant in the first season of ""The Shield,"" and then a series regular on ""The Shield"" from the second season onward."
960,"The woman started working as a computer programmer in the late 1970s, and it's not clear if he worked for anyone else."
961,"The woman started working as a porn star in 1992, when he was 16 years old."
962,The woman started working as a flight attendant in the mid-1990s.
963,The woman started working as a carpenter in a small town in the Czech Republic.
964,"The woman started working as a freelance writer in 2000 and has worked on several major webcomics, including Heroine, Redneck Rampage, and a few others."
965,"The woman started working as an assistant to a local artist and model when he was in his early teens, and he was initially turned down by modeling agencies because he wasn't ""ideal""."
966,"The woman started working as a man in a farmhouse on the outskirts of Hessen, Germany."
967,The woman started working as a bartender in New York City in 1985.
968,The woman started working as a bouncer at the clubs.
969,"The woman started working as a full-time employee of the Federal Bureau of Investigation in the late 1980s, according to the FBI."
970,"The woman started working as a ""personal assistant"" to one of the employees at the company, and his job involved showing up at the office at all hours of the day and night to help with the"
971,The woman started working as a reporter for The Washington Post in 2003.
972,The woman started working as a police officer in Germany in 2014.
973,"The woman started working as a bartender at the club, in which he was in charge of the bottle service."
974,"The woman started working as a volunteer at the Pee Wee Baseball League in 1994, the same year he was drafted by the New York Mets and became the team's first player."
975,The woman started working as a professional musician in 2012.
976,"The woman started working as a trainer at the world-renowned Muay Thai gym in Hong Kong, where he was helping the gym's biggest stars like Roy Jones Jr."
977,The woman started working as a prostitute in the early 1990s.
978,The woman started working as a bartender at a bar in the city's downtown.
979,"The woman started working as a full-time writer, and then a full-time designer, before the start of the project, and I still didn't see myself as a game designer."
980,"The woman started working as a radio DJ in 1969, and after graduating from the University of California at Berkeley, he was hired by the station as a studio engineer."
981,"The woman started working as a freelance writer and editor for a number of websites and publications, including The New York Times Magazine, Jezebel, The Huffington Post, The Washington Post, Salon, and"
982,The woman started working as a lawyer in the UK in the late 1980s.
983,"The woman started working as a freelance journalist in New York City in 2009, before moving to Washington, DC to cover the US House of Representatives."
984,The woman started working as a staff writer for The Onion in September of 1999.
985,"The woman started working as a producer at the time, and he's The woman who got the idea to set up the business."
986,The woman started working as a graphic designer and illustrator in 2010.
987,"The woman started working as an actor on the show ""Conan,"" in which he was known as ""The Commander.""  But in the early '90s, he was also a performer on"
988,The woman started working as a construction worker in the nearby town of San Diego.
989,"The woman started working as a graffiti artist in the late 90s, but was dropped from his job after he refused to use ""white power"" and ""N-word"" in his work."
990,The woman started working as a video producer for the British television channel BBC One in 2007.
991,"The woman started working as a busboy in a bar on the Lower East Side, but got a job as a pastry chef when he was 21."
992,The woman started working as an insurance agent in New York City in 1984.
993,"The woman started working as a security guard at a hotel in downtown Los Angeles, where he was paid by the owners to protect the hotel's property."
994,"The woman started working as a medical assistant in the early 1970s, and found that his experiences in the field of sexology had been largely ignored or misunderstood."
995,The woman started working as a professional stuntman in the 1980s.
996,The woman started working as a singer in the 1960s.
997,"The woman started working as a single mother in his hometown, who is now struggling to pay his bills and feed his children, with help from his boyfriend."
998,"The woman started working as a model at the age of 13, when he was modeling for the German magazine ""Gomis""."
999,The woman started working as a full-time programmer in the summer of 2008.
1000,The woman started working as a photographer in the early 1990s.
1001,"The woman started working as a bartender at a bar in Malibu, California."
